name,lat,lon,radius_m
Al Barsha,25.116860636355195,55.19261855365215,200
Al Safa South,25.178158203837633,55.246999792261335,200
Al Safa North,25.19391580186546,55.26179543275771,200
Al Garhoud Bridge,25.231067241121274,55.33562441952024,200
Al Maktoum Bridge,25.252679709484884,55.321311602173495,200
Airport Tunnel,25.249192750307625,55.38727166900138,200
Jebel Ali,25.02821324866564,55.10118168063246,200
Business Bay Crossing,25.224797100578346,55.341224811303235,200
Al Mamzar North,25.297060775016426,55.361356467149825,200
Al Mamzar South,25.28638736806271,55.35901676750236,200
